"","X","cas","toxpi","average_VAM_scores","mesh","status","compound_name","Drug_Matrix_Rat_invitro_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Repeated_Dose_3_days","Drug_Matrix_Rat_invivo_Repeated_Dose_5_days","TG_GATEs_Rat_invivo_Single_Dose_High_1_day","TG_GATEs_Rat_invivo_Single_Dose_Low_1_day","TG_GATEs_Rat_invivo_Single_Dose_Middle_1_day","Consensus_Rat_invitro_DM_TG_GATEs","Consensus_LINCS_HEPG2","PPI_STRINGdb","TG_Gates_Rat_invivo_Repeated_15_day_High","TG_Gates_Rat_invivo_Repeated_15_day_Low","TG_Gates_Rat_invivo_Repeated_15_day_Middle","TG_Gates_Rat_invivo_Repeated_29_day_High","TG_Gates_Rat_invivo_Repeated_29_day_Low","TG_Gates_Rat_invivo_Repeated_29_day_Middle","TG_Gates_Rat_invivo_Repeated_8_day_High","TG_Gates_Rat_invivo_Repeated_8_day_Low","TG_Gates_Rat_invivo_Repeated_8_day_Middle","TG_GATEs_Human_invitro_Single_Dose_1_day","TG_GATEs_Rat_invitro_Single_Dose_1_day","TG_GATEs_Rat_invivo_Repeated_Dose_15_days","TG_GATEs_Rat_invivo_Repeated_Dose_29_days","TG_GATEs_Rat_invivo_Repeated_Dose_8_days","unk_VAM_scores"
"C010407","","100-00-5",0.055168467,0.272725067450082,"C010407","unk","4-chloronitrobenzene",0.0714925440762919,0.529824713520234,0.909034473225226,0.1963290280964,0.125514547703439,0.23965655413972,0.280619759363214,0.312297658483275,0.0112017024235393,0.422159562951658,0.0769836482837084,0.041764236243169,0.281586336596224,0.0266771492517006,0.166198653366048,0.241658716479634,0.0727360866758385,0.488093967214169,0.0637837095061321,0.0972752237700537,0.402272717015581,0.641612712716472,0.0350488931735011,0.811579024526744,0.272725067450082
"C019498","","100-01-6",0.051588472,0.961026967649684,"C019498","unk","4-nitroaniline",0.998321267267902,0.912462209574552,0.998952827088507,0.99900090568547,0.998607212352075,0.953455841526127,0.994942818603309,0.956872016790057,0.971247685026552,0.98661841435586,0.997715935118274,0.945235879743686,0.980425900111097,0.999306713945525,0.99669157049732,0.991046936209717,0.958532766749896,0.990667552060276,0.805195244527527,0.769606495249231,0.919955969778133,0.999577580441779,0.944614625971701,0.995592854917845,0.961026967649684
"C024836","","100-02-7",0.134157114,0.945172811421658,"C024836","edc","4-nitrophenol",0.995898315864105,0.974453564821989,0.998755525602409,0.993634988396512,0.98829175140257,0.915675112944942,0.962786659950791,0.959640031855957,0.98884841034298,0.997554770656032,0.992230261678026,0.883844910040743,0.691191436212236,0.998408111663342,0.956339716576533,0.999044593888764,0.973820675154351,0.99397651011753,0.817069258711049,0.902737446118328,0.759416508823851,0.997221631945181,0.956841399600334,0.986465881751241,0.945172811421658
"C011363","","100-21-0",0.054286365,0.66743690465552,"C011363","unk","terephthalic acid",0.839553571794972,0.202566980586247,0.761015948354719,0.0986818537701989,0.870251451092115,0.669276119841127,0.75940671101766,0.490901498154687,0.0615543132799903,0.923524245155216,0.989340867775474,0.937160438752749,0.932126484294117,0.615893586127143,0.811225971833356,0.656585730512709,0.485176329599362,0.953918920948331,0.76934941412929,0.454396379445198,0.674658405886489,0.778646821323685,0.312657562846795,0.970616105210845,0.66743690465552
"D019905","","100-51-6",0.052036869,0.518826521011414,"D019905","unk","Benzyl Alcohol",0.0358655535344954,0.806443371067636,0.114207306601653,0.42579225752921,0.941509102902349,0.715141080372106,0.449283782380513,0.462000061832676,0.778179269331864,0.502354299977324,0.309948272712302,0.632009842884209,0.562337829370163,0.76392865004833,0.623876020709109,0.23339107407988,0.744747858199004,0.757740837145507,0.151032168904815,0.152296440090898,0.230340198143964,0.862226178965898,0.333533678099996,0.863651369390026,0.518826521011414
"C027880","","1007-28-9",0.059684878,0.895764599704621,"C027880","unk","6-deisopropylatrazine",0.9431218989745,0.942859815718399,NA,0.944165055001199,NA,NA,NA,0.94894506110114,0.965375752357882,0.667940962223153,NA,0.890102560889336,NA,NA,NA,0.964687920682524,NA,0.978282252711938,0.729498664030153,0.889610984281806,NA,NA,0.884584268483425,NA,0.895764599704621
"C013318","","101-02-0",0.069046211,0.6314157630141,"C013318","unk","triphenyl phosphite",0.675916374671708,0.748257852773227,0.766097015237277,0.775192992260541,0.73914581131442,0.752160302583835,0.200387916125326,0.547749418719448,NA,0.944529153243187,0.307073016333917,0.790524831528484,0.525766501928543,0.210786206513382,0.726595622950944,0.361425979505239,0.414709831551485,0.985425133576325,0.328869580224275,0.830884307110761,0.835913897114052,0.929997830538485,0.754173024211192,0.370979949308256,0.6314157630141
"C009540","","101-20-2",0.070114746,0.972858793145537,"C009540","edc","triclocarban",0.999161626021272,0.995682712974372,0.996057190124253,0.999690588148781,0.979699938891613,0.967889961072527,0.982696072941165,0.998681671146811,0.999693484263061,0.977919763303128,0.988606593157298,0.988606040916597,0.966489615666866,0.998794739679081,0.988561533788622,0.995809679079625,0.870440747772121,0.987421782056119,0.921270252529034,0.905700174055303,0.864043805424272,0.997770846562197,0.980946988197772,0.996975227720992,0.972858793145537
"D002748","","101-21-3",0.062580669,0.884147688683975,"D002748","unk","Chlorpropham",0.918713523489749,0.806969449778905,0.457607933229842,0.931759072045411,0.915583873129046,0.801752078861701,0.971120643603961,0.995205808372644,0.99813143499293,0.995550495541975,0.871199511249904,0.930958158457813,0.940973786356856,0.990176459942277,0.980455481254662,0.993988234883358,0.396983725390874,0.976328007176963,0.749933996832251,0.943607353738478,0.786439476144668,0.999804167328859,0.888187108718423,0.978114747893845,0.884147688683975
"C031506","","101-54-2",0.069932503,0.796926329913286,"C031506","unk","4-aminodiphenylamine",0.752625186653246,NA,0.953242919111569,0.892659976586845,NA,NA,0.736072915540239,0.679057035057512,0.807894996588645,0.782080026751699,0.814258031809909,NA,0.897405960801284,0.852586258534415,NA,0.903230072529887,NA,0.811997781869064,NA,NA,0.650991539341418,0.922538370597041,0.497253876926516,NA,0.796926329913286
